name,kana,romaji
詠水,えいみ,eimi
鋭三,えいみ,eimi
映未,えいみ,eimi
影実,えいみ,eimi
瑛己,えいみ,eimi
永己,えいみ,eimi
英流,えいる,eiru
英市,ええいち,eeichi
瑛市,ええいち,eeichi
栄壱,ええいち,eeichi
懷海,えかい,ekai
慧観,えかん,ekan
慧景,えけい,ekei
詠香,えこ,eko
恵香,えこう,ekou
惠信,えしん,eshin
慧浄,えじょう,ejou
慧誕,えたん,etan
恵知子,えちこ,echiko
慧澄,えちょう,echou
越,えつ,etsu
悦絵,えつえ,etsue
悦生,えつお,etsuo
恵律子,えつこ,etsuko
枝都子,えつこ,etsuko
愛津子,えつこ,etsuko
英都子,えつこ,etsuko
越久,えつじ,etsuji
悦治郎,えつじろう,etsujirou
越為,えつなり,etsunari
悦允,えつなり,etsunari
江津美,えつみ,etsumi
恵都見,えつみ,etsumi
枝都実,えつみ,etsumi
枝津見,えつみ,etsumi
悦三,えつみ,etsumi
愛津美,えつみ,etsumi
絵都三,えつみ,etsumi
越美,えつみ,etsumi
越允,えつや,etsuya
越世,えつよ,etsuyo
鉞雄,えつを,etsuo
恵那,えな,ena
絵名,えな,ena
恵奈子,えなこ,enako
絵羽,えば,eba
えふ,えふ,efu
枝馬,えま,ema
絵馬,えま,ema
絵茉,えま,ema
笑海,えみ,emi
江海,えみ,emi
江美,えみ,emi
枝見,えみ,emi
衣見,えみ,emi
絵未,えみ,emi
絵己,えみ,emi
笑美香,えみか,emika
江三子,えみこ,emiko
江未子,えみこ,emiko
枝三子,えみこ,emiko
栄美子,えみこ,emiko
恵三子,えみこ,emiko
絵見子,えみこ,emiko
栄美代,えみよ,emiyo
笑璃,えみり,emiri
エミリ,えみり,emiri
右衛門七,えもしち,emoshichi
恵梨,えり,eri
英理,えり,eri
江良,えり,eri
依理,えり,eri
えり,えり,eri
栄理,えり,eri
江梨以,えりい,erii
江利加,えりか,erika
江理花,えりか,erika
恵梨夏,えりか,erika
恵梨花,えりか,erika
恵利加,えりか,erika
枝理果,えりか,erika
枝莉夏,えりか,erika
江里香,えりか,erika
枝梨夏,えりか,erika
英利花,えりか,erika
英里華,えりか,erika
栄里香,えりか,erika
栄利歌,えりか,erika
栄梨夏,えりか,erika
絵理華,えりか,erika
絵莉歌,えりか,erika
絵利佳,えりか,erika
絵梨香,えりか,erika
瑛理果,えりか,erika
絵梨子,えりこ,eriko
惠吏子,えりこ,eriko
江利子,えりこ,eriko
愛理子,えりこ,eriko
英利子,えりこ,eriko
衣莉子,えりこ,eriko
瑛理奈,えりな,erina
恵理捺,えりな,erina
絵利名,えりな,erina
絵里名,えりな,erina
枝理菜,えりな,erina
江利菜,えりな,erina
江里奈,えりな,erina
衣梨菜,えりな,erina
依理名,えりな,erina
依梨奈,えりな,erina
英梨菜,えりな,erina
英莉奈,えりな,erina
栄里菜,えりな,erina
恵利美,えりみ,erimi
慧麟,えりん,erin
エルナ,えるな,eruna
瑛怜菜,えれな,erena
遠一,えんいち,enichi
円市,えんいち,enichi
圓空,えんくう,enkuu
袁紹,えんしょう,enshou
圓澄,えんちょう,enchou
遠之輔,えんのすけ,ennosuke
猿之佑,えんのすけ,ennosuke
央,おう,ou
桜我,おうが,ouga
汪外,おうがい,ougai
桜魚,おうぎょ,ougyo
応順,おうじゅん,oujun
王翦,おうせん,ousen
煌護,おうま,ouma
大日本,おおひもと,oohimoto
興子,おきこ,okiko
沖人,おきと,okito
奥忍,おくしのぶ,okushinobu
屋良,おくら,okura
オ子,おこ,oko
緒倖,おさち,osachi
修身,おさみ,osami
磨,おさむ,osamu
攻,おさむ,osamu
倉,おさむ,osamu
納,おさめ,osame
乙津吉,おつきち,otsukichi
音江,おとえ,otoe
響子,おとこ,otoko
乙彦,おとひこ,otohiko
娘子,おとめ,otome
乙和,おとわ,otowa
臣雄,おみお,omio
織衣,おりえ,orie
オリエ,おりえ,orie
織佳,おりか,orika
折砂,おりさ,orisa
織作,おりさく,orisaku
音,おん,on
佳愛,かあい,kaai
魁,かい,kai
魁皇,かいおう,kaiou
宗慈,かいじ,kaiji
海智,かいち,kaichi
凱斗,かいと,kaito
貝梅,かいばい,kaibai
海隆,かいりゅう,kairyuu
華絵,かえ,kae
かえ,かえ,kae
加絵,かえ,kae
香栄子,かえこ,kaeko
佳園子,かえこ,kaeko
楓,かえで,kaede
華央,かお,kao
香子,かおこ,kaoko
炎皇守,かおす,kaosu
華織,かおり,kaori
香央梨,かおり,kaori
香保里,かおり,kaori
佳保里,かおり,kaori
郁,かおり,kaori
夏央利,かおり,kaori
加央梨,かおり,kaori
佳織子,かおりこ,kaoriko
カオル,かおる,kaoru
郁子,かおるこ,kaoruko
かがり,かがり,kagari
鍵子,かぎこ,kagiko
覚訓,かくくん,kakukun
嘉久子,かくこ,kakuko
覚禅,かくぜん,kakuzen
鶴未,かくみ,kakumi
伽玖美,かくみ,kakumi
神楽,かぐら,kagura
景生,かげお,kageo
景健,かげたけ,kagetake
影広,かげひろ,kagehiro
花子,かこ,kako
伽子,かこ,kako
花咲,かさく,kasaku
佳志雄,かしお,kashio
嘉次郎,かじろう,kajirou
賀寿美,かすみ,kasumi
歌澄,かすみ,kasumi
可純,かすみ,kasumi
霞夢,かすむ,kasumu
佳寿,かず,kazu
和之,かずあき,kazuaki
一昭,かずあき,kazuaki
かずい,かずい,kazui
和臣,かずうみ,kazuumi
品恵,かずえ,kazue
和依,かずえ,kazue
かずゑ,かずえ,kazue
佳津江,かずえ,kazue
和生,かずお,kazuo
一生,かずお,kazuo
和櫻,かずお,kazuo
一臣,かずおみ,kazuomi
和貴,かずき,kazuki
一毅,かずき,kazuki
和己,かずき,kazuki
香澄子,かずこ,kazuko
量子,かずこ,kazuko
佳珠子,かずこ,kazuko
加澄子,かずこ,kazuko
和佐,かずさ,kazusa
和史,かずし,kazushi
一成,かずしげ,kazushige
一右,かずすけ,kazusuke
一尊,かずたか,kazutaka
一民,かずたみ,kazutami
一輝,かずてる,kazuteru
一式,かずとき,kazutoki
万稔,かずとし,kazutoshi
万富,かずとみ,kazutomi
和奈,かずな,kazuna
数成,かずなり,kazunari
数音,かずね,kazune
和進,かずのぶ,kazunobu
和記,かずのり,kazunori
数紀,かずのり,kazunori
一範,かずのり,kazunori
一玄,かずはる,kazuharu
数彦,かずひこ,kazuhiko
一久,かずひさ,kazuhisa
一英,かずひで,kazuhide
和広,かずひろ,kazuhiro
和廣,かずひろ,kazuhiro
一泰,かずひろ,kazuhiro
壽廣,かずひろ,kazuhiro
和史,かずふみ,kazufumi
一帆,かずほ,kazuho
和眞,かずま,kazuma
和将,かずまさ,kazumasa
一政,かずまさ,kazumasa
華不魅,かずみ,kazumi
和海,かずみ,kazumi
一角,かずみ,kazumi
佳寿美,かずみ,kazumi
一路,かずみち,kazumichi
一盛,かずもり,kazumori
和弥,かずや,kazuya
一央,かずや,kazuya
千万,かずゆき,kazuyuki
一征,かずゆき,kazuyuki
香寿代,かずよ,kazuyo
香珠代,かずよ,kazuyo
可寿代,かずよ,kazuyo
和儀,かずよし,kazuyoshi
和美,かずよし,kazuyoshi
一吉,かずよし,kazuyoshi
数芳,かずよし,kazuyoshi
花袋,かたい,katai
方政,かたまさ,katamasa
嘉智代,かちよ,kachiyo
勝章,かつあき,katsuaki
勝家,かついえ,katsuie
勝絵,かつえ,katsue
かつ枝,かつえ,katsue
勝雄,かつお,katsuo
雄男,かつお,katsuo
勝樹,かつき,katsuki
勝清,かつきよ,katsukiyo
剋子,かつこ,katsuko
加津子,かつこ,katsuko
勝士,かつし,katsushi
勝成,かつしげ,katsushige
克二,かつじ,katsuji
勝助,かつすけ,katsusuke
勝孝,かつたか,katsutaka
